Identifier,State,StationName,Longitude,Latitude
53878,NC,Asheville_13_S,-82.56,35.42
53877,NC,Asheville_8_SSW,-82.61,35.49
94060,MT,Wolf_Point_29_ENE,-105.1,48.31
94059,MT,Wolf_Point_34_NE,-105.21,48.49
54794,NH,Durham_2_N,-70.93,43.17
54795,NH,Durham_2_SSW,-70.95,43.11
54796,RI,Kingston_1_NW,-71.54,41.49
54797,RI,Kingston_1_W,-71.54,41.48
26494,AK,Fairbanks_11_NE,-147.51,64.97
27516,AK,Utqiagvik_formerly_Barrow_4_ENE,-156.61,71.32
53132,AZ,Elgin_5_S,-110.51,31.59
53131,AZ,Tucson_11_W,-111.17,32.24
63829,GA,Newton_11_SW,-84.45,31.19
63828,GA,Newton_8_W,-84.47,31.31
54808,IL,Champaign_9_SW,-88.37,40.05
94645,ME,Limestone_4_NNW,-67.88,46.96
94644,ME,Old_Town_2_W,-68.7,44.93
63831,MS,Newton_5_ENE,-89.07,32.34
94996,NE,Lincoln_11_SW,-96.85,40.7
94995,NE,Lincoln_8_ENE,-96.57,40.85
53926,OK,Stillwater_2_W,-97.09,36.12
53927,OK,Stillwater_5_WNW,-97.11,36.13
63826,SC,Blackville_3_W,-81.33,33.36
3728,SC,McClellanville_7_NE,-79.36,33.15
4990,SD,Sioux_Falls_14_NNE,-96.62,43.73
4222,CA,Redding_12_WNW,-122.61,40.65
94075,CO,Boulder_14_W,-105.54,40.04
94074,CO,Nunn_7_NNE,-104.76,40.81
4126,ID,Arco_17_SW,-113.56,43.46
4127,ID,Murphy_10_W,-116.75,43.2
54811,IL,Shabbona_5_NNE,-88.85,41.84
53974,KS,Manhattan_6_SSW,-96.61,39.1
63838,KY,Versailles_3_NNW,-84.75,38.09
53960,LA,Lafayette_13_SE,-91.87,30.09
53961,LA,Monroe_26_N,-92.12,32.88
4994,MN,Goodridge_12_NNW,-95.87,48.31
4130,MT,St__Mary_1_SSW,-113.43,48.74
94077,NE,Harrison_20_SSE,-103.74,42.42
3048,NM,Socorro_20_N,-106.89,34.36
4125,OR,John_Day_35_WNW,-119.65,44.56
4128,OR,Riley_10_WSW,-119.69,43.47
3047,TX,Monahans_6_ENE,-102.81,31.62
53968,TX,Palestine_6_WNW,-95.72,31.78
4223,WA,Darrington_21_NNE,-121.45,48.54
3733,WV,Elkins_21_ENE,-79.47,39.01
93243,CA,Merced_23_WSW,-120.88,37.24
53139,CA,Stovepipe_Wells_1_SW,-117.14,36.6
94082,CO,Dinosaur_2_E,-108.97,40.24
3063,CO,La_Junta_17_WSW,-103.82,37.86
3060,CO,Montrose_11_ENE,-107.69,38.54
63856,GA,Brunswick_23_S,-81.46,30.81
63850,GA,Watkinsville_5_SSE,-83.39,33.78
54902,IA,Des_Moines_17_E,-93.29,41.56
63849,KY,Bowling_Green_21_NNE,-86.23,37.25
54810,MI,Chatham_1_SE,-86.92,46.33
94080,ND,Medora_7_E,-103.38,46.89
94079,NE,Whitman_5_ENE,-101.44,42.07
3062,NM,Los_Alamos_13_W,-106.52,35.86
53138,NV,Baker_5_W,-114.21,39.01
53136,NV,Mercury_3_SSW,-116.02,36.62
64758,NY,Ithaca_13_E,-76.25,42.44
64756,NY,Millbrook_3_W,-73.74,41.79
3055,OK,Goodwell_2_E,-101.59,36.6
64757,ON,Egbert_1_W,-79.78,44.23
94081,SD,Buffalo_13_ESE,-103.3,45.52
63855,TN,Crossville_7_NW,-85.13,36.01
12987,TX,Edinburg_17_NNE,-98.06,26.53
3054,TX,Muleshoe_19_S,-102.77,33.96
3739,VA,Cape_Charles_5_ENE,-75.93,37.29
54903,WI,Necedah_5_WNW,-90.17,44.06
94078,WY,Lander_11_SSE,-108.67,42.68
4131,WY,Moose_1_NNE,-110.71,43.66
25379,AK,Sitka_1_NE,-135.33,57.06
25711,AK,St__Paul_4_NE,-170.21,57.16
63857,AL,Gadsden_19_N,-85.96,34.29
63858,AL,Selma_13_WNW,-87.24,32.46
3061,CO,Cortez_8_SE,-108.5,37.26
92821,FL,Titusville_7_E,-80.69,28.62
21515,HI,Hilo_5_S,-155.08,19.65
21514,HI,Mauna_Loa_5_NNE,-155.58,19.54
3067,KS,Oakley_19_SSW,-100.96,38.87
13301,MO,Chillicothe_22_ENE,-93.15,39.87
63868,AL,Courtland_2_WSW,-87.35,34.66
